Timestamp,range,velocity,correlation,evaluation,rssi
1.44755E+18,"[3.5999999046325684, 3.2300000190734863, 3.419999837875366, 3.359999895095825]","[0.1680000126361847, 0.2939999997615814, 0.006000000052154064, 0.003000000026077032]","[1.0, 1.0, 0.8901961445808411, 0.9294118285179138]","[0.14509804546833038, 0.19215688109397888, 0.15294118225574493, 0.19607844948768616]","[67.5, 67.04999542236328, 64.79999542236328, 70.6500015258789]"
1.44755E+18,"[3.509999990463257, 3.2899999618530273, 3.429999828338623, 3.3399999141693115]","[0.1860000044107437, 0.29100000858306885, 0.0, 0.006000000052154064]","[1.0, 1.0, 0.8901961445808411, 0.9960784912109375]","[0.16470588743686676, 0.18431372940540314, 0.1725490242242813, 0.22352942824363708]","[70.6500015258789, 66.5999984741211, 67.5, 70.19999694824219]"
1.44755E+18,"[3.5, 3.309999942779541, 3.4700000286102295, 3.3399999141693115]","[0.1680000126361847, 0.28300002217292786, 0.004000000189989805, -0.009000000543892384]","[0.8980392813682556, 0.9137255549430847, 0.9686275124549866, 0.8666667342185974]","[0.1725490242242813, 0.22745099663734436, 0.16078431904315948, 0.19607844948768616]","[72.0, 70.6500015258789, 67.5, 68.8499984741211]"
1.44755E+18,"[3.5199999809265137, 3.309999942779541, 3.419999837875366, 3.3999998569488525]","[0.15900000929832458, 0.28200000524520874, 0.004000000189989805, 0.0]","[0.9058824181556702, 0.9568628072738647, 0.9137255549430847, 0.9215686917304993]","[0.1568627506494522, 0.21568629145622253, 0.13725490868091583, 0.18431372940540314]","[70.19999694824219, 72.0, 64.79999542236328, 67.04999542236328]"
1.44755E+18,"[3.4700000286102295, 3.359999895095825, 3.4099998474121094, 3.4099998474121094]","[0.16300000250339508, 0.27300000190734863, 0.0020000000949949026, 0.0]","[0.9921569228172302, 0.8862745761871338, 0.9294118285179138, 0.9098039865493774]","[0.1411764770746231, 0.2352941334247589, 0.13333334028720856, 0.20000001788139343]","[66.1500015258789, 72.9000015258789, 63.89999771118164, 69.29999542236328]"
1.44755E+18,"[3.4600000381469727, 3.359999895095825, 3.3999998569488525, 3.419999837875366]","[0.13500000536441803, 0.2510000169277191, 0.006000000052154064, -0.0020000000949949026]","[0.8627451658248901, 0.9333333969116211, 0.960784375667572, 0.9529412388801575]","[0.16470588743686676, 0.2352941334247589, 0.16470588743686676, 0.2352941334247589]","[72.0, 72.44999694824219, 67.04999542236328, 72.0]"
1.44755E+18,"[3.429999828338623, 3.379999876022339, 3.369999885559082, 3.4499998092651367]","[0.13199999928474426, 0.24500000476837158, 0.0, 0.0]","[0.960784375667572, 0.9098039865493774, 0.9137255549430847, 0.9764706492424011]","[0.18039216101169586, 0.20784315466880798, 0.15294118225574493, 0.19607844948768616]","[72.0, 70.6500015258789, 67.04999542236328, 69.29999542236328]"
1.44755E+18,"[3.4499998092651367, 3.359999895095825, 3.369999885559082, 3.429999828338623]","[0.14400000870227814, 0.2410000115633011, 0.012000000104308128, -0.0020000000949949026]","[0.9215686917304993, 0.8980392813682556, 0.9294118285179138, 0.9686275124549866]","[0.1725490242242813, 0.23137256503105164, 0.14509804546833038, 0.20000001788139343]","[72.9000015258789, 72.0, 66.5999984741211, 67.5]"
1.44755E+18,"[3.4600000381469727, 3.3299999237060547, 3.369999885559082, 3.429999828338623]","[0.13500000536441803, 0.22600001096725464, 0.009000000543892384, 0.004000000189989805]","[0.9098039865493774, 0.9647059440612793, 0.9803922176361084, 0.9294118285179138]","[0.18431372940540314, 0.21176472306251526, 0.13725490868091583, 0.1882353127002716]","[72.9000015258789, 69.29999542236328, 63.89999771118164, 66.5999984741211]"
1.44755E+18,"[3.4600000381469727, 3.3299999237060547, 3.3399999141693115, 3.4600000381469727]","[0.16100001335144043, 0.2330000102519989, -0.005000000353902578, 0.004000000189989805]","[0.8862745761871338, 0.8862745761871338, 1.0, 0.9372549653053284]","[0.19607844948768616, 0.22352942824363708, 0.1568627506494522, 0.2039215862751007]","[72.0, 72.44999694824219, 67.5, 68.4000015258789]"
